code,xcoord,ycoord,perc_poverty,metro,pop_density,gdp_percapita,perc_secondary_compelte,income_gini,lab_perc_of_totpob,street_density_km,intersection_density_km,regularity,bet_cen_Gini,clo_cen_Gini,inf_cen_Gini,country
221,-104.87257,39.76018,.151,2,7.40210325652274,4.59202270579939,.929,.502,.709,17.1120204744022,41.0580231124621,-.0967822555451421,.76044673,.12514769,.14736112,2
3811,-98.37054,34.28846,.154,2,1.31643796940664,3.39968555008716,.89,.4068,.598,2.41721145960368,.800094144533065,-.0412213740458015,.68606407,.11463298,.19025294,2
3108,-67.62814,45.01607,.182,1,1.57898711419238,3.50569330696944,.919,.4455,.537,1.51396060003994,.578852992915166,-.867535853976532,.84862462,.10243635,.15535583,2
2637,-106.11508,39.63803,.103,1,2.91055917335232,4.21253295230387,.983,.4366,.78,1.10978146224796,1.04274670203519,-.63302752293578,.83341195,.13890469,.14638594,2
3475,-107.75088,32.18179,.318,1,1.17180488039374,3.42618938715358,.877,.4597,.515,1.29204330288753,.676188388075122,-.385507246376812,.79201042,.1752855,.1378362,2
3830,-97.14421,36.818,.176,1,2.95164370374795,3.60239839084676,.903,.444,.6,2.62778034047179,1.52345113354658,-.156673114119923,.73619122,.11659436,.18789634,2
1628,-89.2014,36.55239,.253,1,2.49038482630771,3.51016862399362,.854,.4777,.496,2.05350936309734,1.42416166737541,-.569352708058124,.75221856,.06383843,.14026347,2
4668,-78.60826,39.32104,.169,2,2.65302859888862,2.6524806734902,.85,.456,.501,1.80507604564419,.729688826205201,-.855721393034826,.81234627,.118944,.17879554,2
3246,-90.97393,32.72531,.403,1,.187949724735015,2.5794419362582,.793,.4807,.306,.493251923726895,.0990843697982561,-.811320754716981,.68270737,.16678634,.15787625,2
4492,-79.5282,37.308,.089,2,3.66881644010008,3.1899073666953,.923,.4233,.611,2.89743034622799,1.76894567886938,-.859506531204644,.81702823,.10674922,.18676513,2
1754,-85.0607,36.99308,.253,1,3.29191816829841,3.38046591757061,.881,.4633,.653,3.20663785037639,2.50845972181005,-.87370977534912,.77590051,.14253475,.16944395,2
1606,-85.13378,36.72581,.2,1,2.99283986156052,3.26740420887143,.862,.4706,.483,2.57364610404048,1.79691519868311,-.79062159214831,.73701415,.13615756,.18400182,2
2970,-93.23655,42.38354,.08,1,2.46774398946049,3.95467863097106,.952,.4078,.619,2.51073546719604,1.17327334305618,-.265471370734529,.65393947,.08407399,.20466729,2
2443,-86.9932,31.43402,.264,1,1.76518714286968,3.59005494465576,.855,.5014,.467,2.0487769383233,.946906950708044,-.842610364683301,.74621257,.13625528,.14623136,2
26,-111.77072,35.83883,.21,2,1.04196538751265,3.82283504044309,.929,.478,.647,.431998623023149,.180931241091154,-.705862029252563,.88705537,.19135684,.17418727,2
3452,-74.28089,39.88954,.109,2,5.88127858853793,3.45268339606134,.938,.4382,.588,7.20472306232151,13.6582970937042,-.515590351631443,.86843023,.12693141,.15066339,2
1763,-85.33299,37.36776,.231,1,3.589960908506,3.44886342503814,.913,.4346,.573,2.69882014281594,2.02089894610695,-.783705839942322,.74141898,.18662533,.16006132,2
3008,-94.24369,40.73519,.109,1,1.29446446651615,3.4985472371857,.925,.4837,.678,2.1430329890094,.762109586967643,-.254493850520341,.64346898,.10889648,.19453059,2
4266,-96.15073,31.70423,.173,1,2.15356586730698,4.62184143229096,.869,.4604,.532,2.32891974759159,1.1999976303038,-.688856197131298,.80990085,.13205019,.15884741,2
2949,-87.27161,38.08923,.077,2,4.11411746538371,3.49563030406143,.949,.4185,.665,3.21781408285371,2.6116708731815,-.618568665377176,.78275829,.13188091,.18685624,2
826,-116.70209,47.67282,.126,2,3.80696846606591,3.51111542609029,.937,.441,.621,2.86109933606731,2.29218119019811,-.570164693072002,.82026116,.17941896,.16713869,2
2823,-88.55785,40.89188,.133,1,2.63437703122879,3.85922346121567,.913,.4221,.556,2.73398162883155,1.21270351725978,-.174603174603175,.7343653,.12019561,.20560041,2
2613,-105.46258,40.66672,.124,2,3.85713915100376,3.83858155337747,.947,.4513,.677,1.70207729160492,2.00859239088626,-.611111111111111,.85501682,.15716018,.15977049,2
2845,-90.8877,39.62265,.149,1,2.01456275719259,3.52080490895802,.919,.4227,.585,2.34346282609118,1.22511577269979,-.537001897533207,.75175239,.13417638,.17333021,2
488,-81.1249,32.00043,.173,2,5.53288025553299,4.00740908907897,.924,.4713,.634,5.05562880040822,9.60093870655739,-.44826930391784,.80948357,.1463812,.18139828,2
3780,-83.12783,41.12351,.152,1,3.66841318732277,3.43845064205919,.927,.4277,.567,3.09832492916263,1.80781612691074,-.391202802646944,.71140308,.14479065,.19621012,2
2605,-123.11471,40.64918,.199,1,.484938414318837,3.51910503888628,.933,.472,.466,1.01235752189879,.289037498429539,-.895798319327731,.86094577,.12988515,.18626602,2
3788,-82.48314,39.25209,.211,1,2.51699378546161,2.86999015079018,.873,.3924,.55,2.16308972977917,.958794068011962,-.755620723362659,.72588247,.1306285,.16346512,2
1636,-88.65143,36.72293,.192,1,3.26741860834631,3.39608683905679,.892,.442,.581,2.64612708978502,1.43876727948953,-.614223088163663,.71626471,.16932438,.1577097,2
2719,-81.74952,31.75219,.2,2,2.77259152223586,1.93560019927415,.895,.3727,.619,2.77682087372396,1.39764075930683,-.761937716262976,.76250425,.11206326,.1426676,2
2745,-83.37553,33.32056,.162,1,3.1698165792396,3.06689971368512,.905,.4698,.474,2.10163265329608,1.18752318202094,-.765151515151515,.7576217,.13541466,.17824146,2
4310,-98.09047,27.73104,.23,1,2.91815966616934,3.84447485461524,.838,.5005,.577,3.08359035557041,1.89441988197759,-.575242145050791,.82372774,.14250063,.14492913,2
3822,-99.56056,34.93536,.192,1,1.30676793315105,2.86989209896578,.872,.4398,.483,2.55917027749766,1.28273851343734,-.430051813471503,.77656172,.12793539,.1642113,2
4334,-98.12468,28.35101,.163,1,1.48368068991644,5.32160799046996,.891,.4222,.447,1.0973009034153,.47793893959282,-.620392156862745,.73115243,.15119367,.1655598,2
3104,-69.28602,45.83839,.187,1,.514232778616176,3.35919110282064,.925,.4638,.656,.399064692260268,.174195516608834,-.845117845117845,.82113244,.1235542,.17052849,2
4390,-97.51764,28.0088,.152,2,3.60513691129609,3.58313837744084,.876,.5069,.443,2.74805079485246,2.14361846685227,-.423728813559322,.80574099,.11193937,.18045643,2
4619,-120.6174,47.87046,.128,2,2.28425101034214,3.94201141653963,.929,.4449,.615,.864730366103329,.446449960312825,-.712841854934602,.87490224,.12174822,.15373088,2
419,-85.215,30.79546,.216,1,3.02394274244525,3.14496377518196,.855,.4565,.441,2.87555404904138,1.98065685600645,-.690897463227457,.80106842,.12859475,.15320121,2
3858,-95.37604,34.41635,.203,1,1.13308211723278,2.9929893381438,.881,.4324,.58,1.22878680293084,.462490212401511,-.699221090473337,.82511203,.1237109,.11680253,2
854,-114.66854,42.35441,.144,1,2.77746742262884,3.65453526190118,.911,.4345,.639,1.88729340151998,1.30267506711125,-.551045701006971,.80781219,.14477842,.16408444,2
4333,-100.27332,36.27783,.105,1,.366469326295932,5.49745176378089,.919,.4437,.654,1.87640022480108,.68258908476296,-.641772920461445,.76858002,.08994662,.14543854,2
